Timestamp,Sync_Error
2026-04-10 00:00:00,
2026-04-10 00:00:01,
2026-04-10 00:00:02,
2026-04-10 00:00:03,
2026-04-10 00:00:04,
2026-04-10 00:00:05,
2026-04-10 00:00:06,
2026-04-10 00:00:07,
2026-04-10 00:00:08,
2026-04-10 00:00:09,
2026-04-10 00:00:10,
2026-04-10 00:00:11,
2026-04-10 00:00:12,
2026-04-10 00:00:13,
2026-04-10 00:00:14,
2026-04-10 00:00:15,
2026-04-10 00:00:16,
2026-04-10 00:00:17,
2026-04-10 00:00:18,
2026-04-10 00:00:19,
2026-04-10 00:00:20,
2026-04-10 00:00:21,
2026-04-10 00:00:22,
2026-04-10 00:00:23,
2026-04-10 00:00:24,
2026-04-10 00:00:25,
2026-04-10 00:00:26,
2026-04-10 00:00:27,
2026-04-10 00:00:28,
2026-04-10 00:00:29,
2026-04-10 00:00:30,
2026-04-10 00:00:31,
2026-04-10 00:00:32,
2026-04-10 00:00:33,
2026-04-10 00:00:34,
2026-04-10 00:00:35,
2026-04-10 00:00:36,
2026-04-10 00:00:37,
2026-04-10 00:00:38,
2026-04-10 00:00:39,
2026-04-10 00:00:40,
2026-04-10 00:00:41,
2026-04-10 00:00:42,
2026-04-10 00:00:43,
2026-04-10 00:00:44,
2026-04-10 00:00:45,
2026-04-10 00:00:46,
2026-04-10 00:00:47,
2026-04-10 00:00:48,
2026-04-10 00:00:49,
2026-04-10 00:00:50,5.0
2026-04-10 00:00:51,5.0
2026-04-10 00:00:52,5.0
2026-04-10 00:00:53,5.0
2026-04-10 00:00:54,5.0
2026-04-10 00:00:55,5.0
2026-04-10 00:00:56,5.0
2026-04-10 00:00:57,5.0
2026-04-10 00:00:58,5.0
2026-04-10 00:00:59,5.0
2026-04-10 00:01:00,5.0
2026-04-10 00:01:01,5.0
2026-04-10 00:01:02,5.0
2026-04-10 00:01:03,5.0
2026-04-10 00:01:04,5.0
2026-04-10 00:01:05,5.0
2026-04-10 00:01:06,5.0
2026-04-10 00:01:07,5.0
2026-04-10 00:01:08,5.0
2026-04-10 00:01:09,5.0
2026-04-10 00:01:10,5.0
2026-04-10 00:01:11,5.0
2026-04-10 00:01:12,5.0
2026-04-10 00:01:13,5.0
2026-04-10 00:01:14,5.0
2026-04-10 00:01:15,5.0
2026-04-10 00:01:16,5.0
2026-04-10 00:01:17,5.0
2026-04-10 00:01:18,5.0
2026-04-10 00:01:19,5.0
2026-04-10 00:01:20,5.0
2026-04-10 00:01:21,5.0
2026-04-10 00:01:22,5.0
2026-04-10 00:01:23,5.0
2026-04-10 00:01:24,5.0
2026-04-10 00:01:25,5.0
2026-04-10 00:01:26,5.0
2026-04-10 00:01:27,5.0
2026-04-10 00:01:28,5.0
2026-04-10 00:01:29,5.0
2026-04-10 00:01:30,5.0
2026-04-10 00:01:31,5.0
2026-04-10 00:01:32,5.0
2026-04-10 00:01:33,5.0
2026-04-10 00:01:34,5.0
2026-04-10 00:01:35,5.0
2026-04-10 00:01:36,5.0
2026-04-10 00:01:37,5.0
2026-04-10 00:01:38,5.0
2026-04-10 00:01:39,5.0
2026-04-10 00:01:40,5.0
2026-04-10 00:01:41,5.0
2026-04-10 00:01:42,5.0
2026-04-10 00:01:43,5.0
2026-04-10 00:01:44,5.0
2026-04-10 00:01:45,5.0
2026-04-10 00:01:46,5.0
2026-04-10 00:01:47,5.0
2026-04-10 00:01:48,5.0
2026-04-10 00:01:49,5.0
2026-04-10 00:01:50,5.0
2026-04-10 00:01:51,5.0
2026-04-10 00:01:52,5.0
2026-04-10 00:01:53,5.0
2026-04-10 00:01:54,5.0
2026-04-10 00:01:55,5.0
2026-04-10 00:01:56,5.0
2026-04-10 00:01:57,5.0
2026-04-10 00:01:58,5.0
2026-04-10 00:01:59,5.0
2026-04-10 00:02:00,5.0
2026-04-10 00:02:01,5.0
2026-04-10 00:02:02,5.0
2026-04-10 00:02:03,5.0
2026-04-10 00:02:04,5.0
2026-04-10 00:02:05,5.0
2026-04-10 00:02:06,5.0
2026-04-10 00:02:07,5.0
2026-04-10 00:02:08,5.0
2026-04-10 00:02:09,5.0
2026-04-10 00:02:10,5.0
2026-04-10 00:02:11,5.0
2026-04-10 00:02:12,5.0
2026-04-10 00:02:13,5.0
2026-04-10 00:02:14,5.0
2026-04-10 00:02:15,5.0
2026-04-10 00:02:16,5.0
2026-04-10 00:02:17,5.0
2026-04-10 00:02:18,5.0
2026-04-10 00:02:19,5.0
2026-04-10 00:02:20,5.0
2026-04-10 00:02:21,5.0
2026-04-10 00:02:22,5.0
2026-04-10 00:02:23,5.0
2026-04-10 00:02:24,5.0
2026-04-10 00:02:25,5.0
2026-04-10 00:02:26,5.0
2026-04-10 00:02:27,5.0
2026-04-10 00:02:28,5.0
2026-04-10 00:02:29,5.0
2026-04-10 00:02:30,5.0
2026-04-10 00:02:31,5.0
2026-04-10 00:02:32,5.0
2026-04-10 00:02:33,5.0
2026-04-10 00:02:34,5.0
2026-04-10 00:02:35,5.0
2026-04-10 00:02:36,5.0
2026-04-10 00:02:37,5.0
2026-04-10 00:02:38,5.0
2026-04-10 00:02:39,5.0
2026-04-10 00:02:40,5.0
2026-04-10 00:02:41,5.0
2026-04-10 00:02:42,5.0
2026-04-10 00:02:43,5.0
